Complaint_ID;Shipment_ID;Complaint_DateTime;Complaint_Category;Complaint_Reason;Complaint_Channel;Resolved_Flag
CMP-0004639;SHP-2026-0185740;2026-08-06 16:33:19;Incorrect Delivery;Wrong delivery instructions;Email;FALSE
CMP-0003380;SHP-2026-0133263;2026-02-28 20:10:51;Damaged Shipment;Package damaged;Email;TRUE
CMP-0000555;SHP-2025-0021881;2025-03-19 04:10:52;Late Delivery;Long transit time;Email;TRUE
CMP-0005110;SHP-2026-0204525;2026-09-22 04:44:50;Failed Delivery;Customer not available;Phone;TRUE
CMP-0003472;SHP-2026-0136865;2026-03-01 22:37:03;Late Delivery;Long transit time;Email;TRUE
CMP-0000875;SHP-2025-0034662;2025-05-27 09:03:48;Other;Wrong delivery instructions;Web Form;TRUE
CMP-0000086;SHP-2025-0003364;2025-01-29 21:57:17;Late Delivery;Delivered after promised date;Phone;TRUE
CMP-0004942;SHP-2026-0197903;2026-08-29 08:38:05;Late Delivery;Delivered after promised date;Phone;TRUE
CMP-0000252;SHP-2025-0010391;2025-02-10 14:46:50;Late Delivery;Delivered after promised date;Web Form;FALSE
CMP-0003876;SHP-2026-0153674;2026-04-10 23:59:44;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0003919;SHP-2026-0155361;2026-04-21 12:03:49;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0005635;SHP-2026-0225039;2026-11-08 17:38:42;Failed Delivery;Repeated delivery attempt;Email;TRUE
CMP-0004464;SHP-2026-0179140;2026-07-28 19:22:23;Failed Delivery;Customer not available;Email;TRUE
CMP-0002027;SHP-2025-0081706;2025-09-18 15:44:18;Failed Delivery;Delivery unsuccessful;Web Form;TRUE
CMP-0003531;SHP-2026-0139087;2026-04-02 09:27:20;Failed Delivery;Repeated delivery attempt;Web Form;TRUE
CMP-0000823;SHP-2025-0032690;2025-04-20 04:53:50;Other;Wrong delivery instructions;Phone;TRUE
CMP-0000154;SHP-2025-0006289;2025-01-27 10:17:34;Damaged Shipment;Packaging failure;Phone;TRUE
CMP-0004891;SHP-2026-0196054;2026-08-25 09:40:05;Failed Delivery;Repeated delivery attempt;Email;TRUE
CMP-0001495;SHP-2025-0060267;2025-07-17 14:42:52;Failed Delivery;Customer not available;Phone;TRUE
CMP-0000979;SHP-2025-0039250;2025-05-21 21:47:36;Other;Tracking issue;Web Form;TRUE
CMP-0003855;SHP-2026-0152487;2026-04-07 17:17:41;Late Delivery;Long transit time;Email;TRUE
CMP-0003591;SHP-2026-0142207;2026-03-09 20:25:11;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0003153;SHP-2026-0123532;2026-01-08 06:43:33;Other;Tracking issue;Chat;TRUE
CMP-0001955;SHP-2025-0078563;2025-09-30 10:31:29;Failed Delivery;Courier did not reach customer;Chat;TRUE
CMP-0005568;SHP-2026-0222361;2026-12-05 11:20:58;Damaged Shipment;Packaging failure;Web Form;TRUE
CMP-0003115;SHP-2026-0121694;2026-01-21 03:33:29;Lost Shipment;No tracking progress;Web Form;TRUE
CMP-0006012;SHP-2026-0238249;2026-12-31 17:48:40;Late Delivery;Long transit time;Chat;TRUE
CMP-0004386;SHP-2026-0176070;2026-06-10 03:19:11;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0005561;SHP-2026-0222216;2026-11-09 08:27:09;Other;Wrong delivery instructions;Email;TRUE
CMP-0000606;SHP-2025-0024074;2025-03-15 16:27:28;Failed Delivery;Courier did not reach customer;Email;FALSE
CMP-0004867;SHP-2026-0195171;2026-08-24 02:04:50;Late Delivery;Delivery date repeatedly changed;Chat;TRUE
CMP-0005339;SHP-2026-0213869;2026-10-25 19:25:42;Other;Wrong delivery instructions;Email;TRUE
CMP-0004547;SHP-2026-0181974;2026-07-22 10:27:00;Incorrect Delivery;Tracking issue;Email;TRUE
CMP-0004163;SHP-2026-0166507;2026-05-21 08:03:34;Late Delivery;Long transit time;Chat;TRUE
CMP-0002485;SHP-2025-0100669;2025-12-01 10:26:06;Incorrect Delivery;Tracking issue;Phone;TRUE
CMP-0000732;SHP-2025-0029246;2025-04-11 11:29:40;Incorrect Delivery;Wrong delivery instructions;Chat;TRUE
CMP-0001538;SHP-2025-0061876;2025-08-05 06:12:52;Failed Delivery;Courier did not reach customer;Email;TRUE
CMP-0006283;SHP-2026-0246225;2026-12-17 19:06:24;Incorrect Delivery;Wrong delivery instructions;Web Form;TRUE
CMP-0005906;SHP-2026-0234847;2026-12-16 19:12:56;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0003883;SHP-2026-0153988;2026-05-03 14:47:56;Late Delivery;Long transit time;Phone;TRUE
CMP-0001533;SHP-2025-0061488;2025-07-28 20:43:50;Incorrect Delivery;Wrong delivery instructions;Chat;TRUE
CMP-0001503;SHP-2025-0060386;2025-07-11 11:36:06;Late Delivery;Delivered after promised date;Email;TRUE
CMP-0005135;SHP-2026-0205643;2026-09-16 13:43:43;Failed Delivery;Courier did not reach customer;Phone;TRUE
CMP-0004922;SHP-2026-0197071;2026-08-19 19:30:24;Late Delivery;Long transit time;Phone;TRUE
CMP-0001989;SHP-2025-0080495;2025-10-02 20:39:21;Incorrect Delivery;Wrong delivery instructions;Web Form;TRUE
CMP-0000166;SHP-2025-0006690;2025-01-30 09:16:39;Other;Wrong delivery instructions;Phone;TRUE
CMP-0001696;SHP-2025-0068058;2025-08-19 13:17:20;Late Delivery;Delivered after promised date;Chat;TRUE
CMP-0000787;SHP-2025-0031273;2025-04-29 04:39:40;Late Delivery;Delivered after promised date;Chat;TRUE
CMP-0004047;SHP-2026-0161754;2026-05-25 15:18:56;Late Delivery;Delivered after promised date;Phone;TRUE
CMP-0001836;SHP-2025-0073091;2025-10-04 13:16:57;Late Delivery;Long transit time;Web Form;TRUE
CMP-0002036;SHP-2025-0081997;2025-10-02 20:39:49;Incorrect Delivery;Other;Phone;TRUE
CMP-0000778;SHP-2025-0030836;2025-04-22 19:48:19;Incorrect Delivery;Tracking issue;Phone;TRUE
CMP-0004477;SHP-2026-0179554;2026-07-19 20:33:06;Late Delivery;Long transit time;Email;TRUE
CMP-0002136;SHP-2025-0085765;2025-10-15 23:52:08;Late Delivery;Long transit time;Phone;TRUE
CMP-0000367;SHP-2025-0014658;2025-02-13 15:01:10;Incorrect Delivery;Tracking issue;Email;TRUE
CMP-0004607;SHP-2026-0184365;2026-07-16 17:57:45;Late Delivery;Delivered after promised date;Phone;TRUE
CMP-0004405;SHP-2026-0176855;2026-06-07 10:28:01;Damaged Shipment;Package damaged;Chat;TRUE
CMP-0006110;SHP-2026-0240785;2026-12-16 01:08:21;Other;Wrong delivery instructions;Phone;TRUE
CMP-0004754;SHP-2026-0190599;2026-08-18 07:00:25;Other;Wrong delivery instructions;Phone;TRUE
CMP-0003379;SHP-2026-0133104;2026-02-21 02:01:24;Late Delivery;Delivered after promised date;Email;TRUE
CMP-0002836;SHP-2025-0112356;2026-01-02 02:14:23;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0002672;SHP-2025-0107530;2025-12-12 04:38:03;Late Delivery;Long transit time;Phone;TRUE
CMP-0003208;SHP-2026-0126182;2026-02-02 08:30:50;Failed Delivery;Courier did not reach customer;Email;TRUE
CMP-0001137;SHP-2025-0046194;2025-06-24 10:33:32;Failed Delivery;Customer not available;Email;TRUE
CMP-0003353;SHP-2026-0132611;2026-02-19 07:54:10;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0001128;SHP-2025-0045843;2025-06-24 04:33:58;Other;Other;Phone;TRUE
CMP-0001009;SHP-2025-0040655;2025-06-02 10:55:29;Incorrect Delivery;Other;Phone;TRUE
CMP-0006102;SHP-2026-0240712;2026-12-19 19:16:19;Incorrect Delivery;Other;Email;TRUE
CMP-0002121;SHP-2025-0085312;2025-10-13 09:40:39;Incorrect Delivery;Wrong delivery instructions;Chat;TRUE
CMP-0005738;SHP-2026-0228904;2026-12-02 08:46:43;Incorrect Delivery;Other;Web Form;FALSE
CMP-0006119;SHP-2026-0241112;2027-01-03 23:50:38;Incorrect Delivery;Wrong delivery instructions;Phone;TRUE
CMP-0001357;SHP-2025-0054726;2025-07-15 00:58:10;Other;Other;Phone;TRUE
CMP-0006356;SHP-2026-0248770;2026-12-25 11:25:36;Late Delivery;Long transit time;Phone;TRUE
CMP-0004362;SHP-2026-0175196;2026-06-13 05:18:27;Incorrect Delivery;Wrong delivery instructions;Web Form;TRUE
CMP-0005220;SHP-2026-0209159;2026-10-19 06:14:46;Damaged Shipment;Contents damaged;Web Form;TRUE
CMP-0003629;SHP-2026-0144173;2026-03-21 13:26:23;Failed Delivery;Courier did not reach customer;Phone;TRUE
CMP-0005973;SHP-2026-0236932;2026-12-08 13:16:25;Late Delivery;Long transit time;Email;TRUE
CMP-0005440;SHP-2026-0217673;2026-10-25 02:39:30;Other;Other;Web Form;TRUE
CMP-0003252;SHP-2026-0127904;2026-01-16 13:26:43;Late Delivery;Delivery date repeatedly changed;Web Form;TRUE
CMP-0006254;SHP-2026-0245156;2026-12-27 07:55:26;Other;Wrong delivery instructions;Email;TRUE
CMP-0005591;SHP-2026-0223295;2026-11-24 07:57:13;Incorrect Delivery;Other;Phone;TRUE
CMP-0000912;SHP-2025-0036132;2025-05-14 08:53:19;Late Delivery;Long transit time;Phone;TRUE
CMP-0004946;SHP-2026-0198084;2026-09-17 10:56:12;Late Delivery;Long transit time;Phone;TRUE
CMP-0000973;SHP-2025-0038953;2025-05-12 19:37:54;Late Delivery;;Email;TRUE
CMP-0000946;SHP-2025-0037694;2025-05-16 08:03:50;Incorrect Delivery;Other;Email;TRUE
CMP-0001043;SHP-2025-0042178;2025-06-02 18:48:56;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0004206;SHP-2026-0168378;2026-06-10 10:15:49;Late Delivery;Delivered after promised date;Email;TRUE
CMP-0005153;SHP-2026-0206926;2026-10-02 00:06:46;Failed Delivery;Repeated delivery attempt;Chat;FALSE
CMP-0004930;SHP-2026-0197449;2026-08-30 03:56:08;Failed Delivery;Courier did not reach customer;Email;TRUE
CMP-0005599;SHP-2026-0223641;2026-11-18 14:41:52;Incorrect Delivery;Wrong delivery instructions;Chat;TRUE
CMP-0003452;SHP-2026-0136258;2026-02-24 20:11:46;Other;Tracking issue;Phone;TRUE
CMP-0001039;SHP-2025-0041956;2025-06-08 04:04:37;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0001958;SHP-2025-0078844;2025-09-19 13:41:43;Incorrect Delivery;Tracking issue;Email;TRUE
CMP-0001750;SHP-2025-0069938;2025-08-27 10:25:40;Late Delivery;Long transit time;Phone;TRUE
CMP-0003402;SHP-2026-0134479;2026-02-16 23:45:44;Incorrect Delivery;Other;Chat;TRUE
CMP-0004220;SHP-2026-0168965;2026-07-01 19:36:30;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0002767;SHP-2025-0110472;2026-01-04 04:12:24;Late Delivery;Delivered after promised date;Email;TRUE
CMP-0003363;SHP-2026-0132845;2026-02-18 15:28:14;Other;Wrong delivery instructions;Chat;TRUE
CMP-0001461;SHP-2025-0058850;2025-07-08 12:09:37;Other;Wrong delivery instructions;Chat;TRUE
CMP-0004315;SHP-2026-0173499;2026-06-12 00:45:25;Late Delivery;Long transit time;Web Form;TRUE
CMP-0000715;SHP-2025-0028691;2025-05-03 12:23:43;Failed Delivery;Repeated delivery attempt;Web Form;TRUE
CMP-0003532;SHP-2026-0139090;2026-04-06 22:26:15;Late Delivery;Delivery date repeatedly changed;Chat;TRUE
CMP-0002779;SHP-2025-0110785;2025-12-12 13:35:19;Failed Delivery;Customer not available;Email;TRUE
CMP-0003230;SHP-2026-0127025;2026-01-27 09:46:17;Failed Delivery;Courier did not reach customer;Web Form;TRUE
CMP-0006174;SHP-2026-0242655;2026-12-10 21:22:31;Other;Other;Email;TRUE
CMP-0002222;SHP-2025-0089516;2025-10-21 06:05:39;Failed Delivery;Repeated delivery attempt;Phone;TRUE
CMP-0000034;SHP-UNKNOWN-692;2025-01-27 21:50:55;Failed Delivery;Courier did not reach customer;Email;FALSE
CMP-0001785;SHP-2025-0071342;2025-08-23 11:12:14;Incorrect Delivery;Tracking issue;Email;TRUE
CMP-0000418;SHP-2025-0016745;2025-03-19 03:08:38;Late Delivery;Long transit time;Phone;TRUE
CMP-0004528;SHP-2026-0181115;2026-07-22 23:12:53;Late Delivery;Long transit time;Email;TRUE
CMP-0002190;SHP-2025-0088074;2025-10-06 20:29:11;Lost Shipment;Declared lost;Chat;TRUE
CMP-0004027;SHP-2026-0160798;2026-05-13 00:10:02;Incorrect Delivery;Tracking issue;Email;TRUE
CMP-0001967;SHP-2025-0079408;2025-09-03 23:07:04;Failed Delivery;Courier did not reach customer;Web Form;TRUE
CMP-0001386;SHP-2025-0056047;2025-07-26 03:21:34;Other;Wrong delivery instructions;Chat;TRUE
CMP-0000595;SHP-2025-0023631;2025-03-25 14:49:47;Incorrect Delivery;Tracking issue;Email;TRUE
CMP-0002855;SHP-2025-0112945;2025-12-14 15:32:27;Failed Delivery;Repeated delivery attempt;Phone;TRUE
CMP-0005250;SHP-2026-0210387;2026-10-16 19:22:27;Other;Other;Email;TRUE
CMP-0000785;SHP-2025-0031104;2025-04-27 16:54:35;Late Delivery;Delivered after promised date;Phone;TRUE
CMP-0000413;SHP-2025-0016416;2025-04-01 01:39:04;Late Delivery;Delivery date repeatedly changed;Email;FALSE
CMP-0002612;SHP-2025-0104776;2025-11-11 02:18:40;Late Delivery;Delivered after promised date;Web Form;TRUE
CMP-0005649;SHP-2026-0225549;2026-11-29 05:33:58;Late Delivery;Long transit time;Phone;TRUE
CMP-0002874;SHP-2025-0113647;2025-12-22 00:38:21;Damaged Shipment;Contents damaged;Email;TRUE
CMP-0004596;SHP-2026-0183841;2026-07-11 23:28:33;Failed Delivery;Repeated delivery attempt;Email;TRUE
CMP-0002383;SHP-2025-0096317;2025-11-28 01:30:49;Other;Other;Chat;TRUE
CMP-0002296;SHP-2025-0092841;2025-10-29 02:43:19;Late Delivery;Long transit time;Web Form;TRUE
CMP-0004212;SHP-2026-0168697;2026-06-29 04:41:50;Incorrect Delivery;Tracking issue;Phone;TRUE
CMP-0005001;SHP-2026-0200137;2026-09-23 16:10:25;Incorrect Delivery;Other;Email;TRUE
CMP-0002082;SHP-2025-0083803;2025-10-10 08:43:41;Lost Shipment;Shipment not delivered;Phone;TRUE
CMP-0001249;SHP-2025-0050469;2025-06-21 22:05:31;Failed Delivery;Repeated delivery attempt;Email;TRUE
CMP-0003008;SHP-2025-0118211;2025-12-26 20:07:29;Failed Delivery;Delivery unsuccessful;Email;TRUE
CMP-0004351;SHP-2026-0174700;2026-06-17 00:15:41;Other;Tracking issue;Phone;TRUE
CMP-0003517;SHP-2026-0138740;2026-03-29 16:47:06;Late Delivery;Delivery date repeatedly changed;Web Form;TRUE
CMP-0002349;SHP-2025-0094955;2025-11-24 16:03:08;Incorrect Delivery;Tracking issue;Phone;TRUE
CMP-0005884;SHP-2026-0233915;2026-11-29 05:38:34;Failed Delivery;Courier did not reach customer;Web Form;TRUE
CMP-0006081;SHP-2026-0240313;2026-12-20 16:03:57;Late Delivery;Delivered after promised date;Phone;TRUE
CMP-0004694;SHP-2026-0188102;2026-07-26 04:39:11;Incorrect Delivery;Wrong delivery instructions;Phone;TRUE
CMP-0005049;SHP-2026-0201841;2026-09-28 09:24:29;Late Delivery;Delivered after promised date;Web Form;TRUE
CMP-0005374;SHP-2026-0215042;2026-10-26 00:33:59;Other;Other;Web Form;TRUE
CMP-0003983;SHP-2026-0158734;2026-05-10 09:29:08;Failed Delivery;Delivery unsuccessful;Email;TRUE
CMP-0005178;SHP-2026-0207884;2026-09-08 17:32:08;Failed Delivery;Repeated delivery attempt;Phone;TRUE
CMP-0004497;SHP-2026-0179994;2026-07-10 23:17:13;Late Delivery;Long transit time;Web Form;TRUE
CMP-0000439;SHP-2025-0017532;2025-03-18 21:44:12;Damaged Shipment;Packaging failure;Email;FALSE
CMP-0003799;SHP-2026-0150338;2026-01-01 07:14:30;Failed Delivery;Customer not available;Phone;TRUE
CMP-0001092;SHP-2025-0044059;2025-06-18 20:29:44;Failed Delivery;Courier did not reach customer;Email;TRUE
CMP-0001318;SHP-2025-0053267;2025-06-07 13:12:13;Incorrect Delivery;Tracking issue;Email;TRUE
CMP-0005296;SHP-2026-0212507;2026-10-31 11:24:40;Incorrect Delivery;Tracking issue;Web Form;TRUE
CMP-0003554;SHP-2026-0140240;2026-04-05 12:33:51;Failed Delivery;Customer not available;Email;FALSE
CMP-0002637;SHP-2025-0106055;2025-11-23 20:55:27;Other;Other;Email;TRUE
CMP-0006022;SHP-2026-0238518;2026-12-23 06:40:12;Other;Other;Phone;TRUE
CMP-0000532;SHP-2025-0021010;2025-04-02 19:43:06;Failed Delivery;Courier did not reach customer;Web Form;TRUE
CMP-0004509;SHP-2026-0180433;2026-07-09 09:12:26;Incorrect Delivery;Other;Phone;TRUE
CMP-0001789;SHP-2025-0071647;2025-08-09 09:55:13;Late Delivery;Long transit time;Web Form;FALSE
CMP-0006105;SHP-2026-0240739;2026-12-28 05:58:48;Failed Delivery;Customer not available;Web Form;TRUE
CMP-0005786;SHP-2026-0230530;2026-11-15 03:03:31;Late Delivery;Delivered after promised date;Chat;TRUE
CMP-0005899;SHP-2026-0234523;2026-12-29 10:55:25;Late Delivery;Long transit time;Phone;TRUE
CMP-0005486;SHP-2026-0219636;2026-11-04 02:53:55;Late Delivery;Long transit time;Email;TRUE
CMP-0001591;SHP-2025-0064484;2025-08-09 09:22:21;Other;Other;Phone;TRUE
CMP-0006072;SHP-2026-0239996;2026-12-10 22:05:12;Lost Shipment;No tracking progress;Web Form;TRUE
CMP-0005698;SHP-2026-0227554;2026-11-18 00:49:43;Failed Delivery;Repeated delivery attempt;Email;TRUE
CMP-0002712;SHP-2025-0108739;2025-12-12 22:20:41;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0004175;SHP-2026-0166877;2026-05-06 12:11:35;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0000929;SHP-2025-0036738;2025-05-28 19:25:05;Other;Tracking issue;Chat;TRUE
CMP-0002115;SHP-2025-0085175;2025-11-04 08:41:10;Late Delivery;Delivered after promised date;Phone;TRUE
CMP-0005107;SHP-2026-0204421;2026-09-24 08:49:56;Other;Other;Web Form;TRUE
CMP-0001084;SHP-2025-0043707;2025-05-09 07:01:54;failed delivery;Delivery unsuccessful;Phone;TRUE
CMP-0003187;SHP-2026-0125048;2026-01-27 19:53:35;Other;Other;Email;FALSE
CMP-0004862;SHP-2026-0194942;2026-09-02 07:59:30;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0003066;SHP-2025-0120093;2025-12-18 06:17:25;Late Delivery;Long transit time;Chat;TRUE
CMP-0004739;SHP-2026-0189911;2026-09-01 04:24:32;Late Delivery;Long transit time;Email;TRUE
CMP-0005349;SHP-2026-0214161;2026-10-05 02:35:29;Other;Other;Email;TRUE
CMP-0000966;SHP-2025-0038812;2025-05-29 16:13:24;Failed Delivery;Repeated delivery attempt;Chat;TRUE
CMP-0005091;SHP-2026-0203643;2026-09-19 20:51:05;Failed Delivery;Customer not available;Phone;TRUE
CMP-0000016;SHP-2025-0000749;2025-01-11 10:16:57;Late Delivery;Delivered after promised date;Phone;TRUE
CMP-0001555;SHP-2025-0063006;2025-07-31 02:55:04;Incorrect Delivery;Wrong delivery instructions;Phone;TRUE
CMP-0004113;SHP-2026-0164440;2026-05-28 20:31:06;Late Delivery;Long transit time;Email;TRUE
CMP-0001548;SHP-2025-0062259;2025-07-10 07:19:51;Late Delivery;Delivered after promised date;Email;TRUE
CMP-0000965;SHP-2025-0038739;2025-05-30 02:25:04;Late Delivery;Long transit time;Email;TRUE
CMP-0002184;SHP-2025-0087479;2025-10-26 19:31:24;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0004683;SHP-2026-0187646;2026-07-13 04:11:34;Incorrect Delivery;Tracking issue;Phone;TRUE
CMP-0005851;SHP-2026-0232764;2026-11-07 14:00:24;Late Delivery;Delivered after promised date;Email;TRUE
CMP-0004167;SHP-2026-0166702;2026-05-06 04:25:34;Incorrect Delivery;Wrong delivery instructions;Phone;TRUE
CMP-0004653;SHP-2026-0186076;2026-07-09 14:06:59;Late Delivery;Long transit time;Email;TRUE
CMP-0006148;SHP-2026-0241973;2026-12-23 00:46:29;Late Delivery;Delivered after promised date;Web Form;TRUE
CMP-0003346;SHP-2026-0132168;2026-02-26 20:53:54;Lost Shipment;Shipment not delivered;Email;TRUE
CMP-0005810;SHP-2026-0231201;2026-12-03 14:14:37;Late Delivery;Delivered after promised date;Chat;TRUE
CMP-0005876;SHP-2026-0233598;2026-12-01 23:03:26;Failed Delivery;Courier did not reach customer;Web Form;TRUE
CMP-0002556;SHP-2025-0103040;2025-11-21 04:22:03;Late Delivery;Long transit time;Email;TRUE
CMP-0001214;SHP-2025-0048958;2025-06-05 15:48:02;Late Delivery;Long transit time;Email;TRUE
CMP-0005341;SHP-2026-0213937;2026-10-31 04:20:58;Other;Tracking issue;Chat;TRUE
CMP-0004532;SHP-2026-0181285;2026-07-23 18:14:34;Incorrect Delivery;Other;Chat;TRUE
CMP-0004111;SHP-2026-0164271;2026-05-20 21:37:50;Other;Other;Email;TRUE
CMP-0005518;SHP-2026-0220627;2026-10-11 22:00:24;Failed Delivery;Customer not available;Web Form;TRUE
CMP-0003571;SHP-2026-0141089;2026-03-14 00:09:32;Other;Tracking issue;Email;TRUE
CMP-0003774;SHP-2026-0149153;2026-04-02 14:18:48;Incorrect Delivery;Tracking issue;Email;TRUE
CMP-0005055;SHP-2026-0202239;2026-09-18 03:05:44;Other;Other;Chat;FALSE
CMP-0003105;SHP-2025-0121226;2026-01-07 10:45:39;Late Delivery;Delivery date repeatedly changed;Chat;TRUE
CMP-0002696;SHP-2025-0108318;2026-01-02 13:27:16;Late Delivery;Delivered after promised date;Phone;TRUE
CMP-0004069;SHP-2026-0162442;2026-05-08 06:17:12;Late Delivery;Delivery date repeatedly changed; Email ;TRUE
CMP-0004403;SHP-2026-0176748;2026-06-27 09:04:35;Failed Delivery;Repeated delivery attempt;Web Form;TRUE
CMP-0001525;SHP-2025-0061172;2025-07-20 04:54:49;Late Delivery;Long transit time;Chat;TRUE
CMP-0004648;SHP-2026-0185917;2026-07-12 21:56:14;Other;Wrong delivery instructions;Chat;TRUE
CMP-0005459;SHP-2026-0218627;2026-10-19 23:57:10;Incorrect Delivery;Other;Phone;TRUE
CMP-0002520;SHP-2025-0101737;2025-11-29 20:51:20;Late Delivery;Delivery date repeatedly changed;Web Form;TRUE
CMP-0004847;SHP-2026-0194437;2026-08-10 03:27:59;Failed Delivery;Repeated delivery attempt;Email;TRUE
CMP-0003603;SHP-2026-0142793;2026-03-31 06:30:51;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0000693;SHP-2025-0027823;2025-04-24 09:15:56;Failed Delivery;Delivery unsuccessful;Web Form;TRUE
CMP-0001112;SHP-2025-0045164;2025-06-28 14:20:02;Incorrect Delivery;Wrong delivery instructions;Phone;TRUE
CMP-0006295;SHP-2026-0246581;2026-12-12 21:52:36;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0000013;SHP-2025-0000596;2025-01-09 04:06:20;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0002220;SHP-2025-0089289;2025-10-13 22:05:17;Other;Other;Phone;TRUE
CMP-0003814;SHP-2026-0151147;2026-05-07 12:33:46;Other;Tracking issue;Chat;TRUE
CMP-0005216;SHP-2026-0209016;2026-10-21 11:20:35;Other;Other;Chat;TRUE
CMP-0000039;SHP-2025-0001747;2025-01-07 07:47:50;Lost Shipment;Declared lost;Email;TRUE
CMP-0000533;SHP-2025-0021018;2025-03-05 20:30:21;Incorrect Delivery;Tracking issue;Web Form;TRUE
CMP-0004045;SHP-2026-0161595;2026-05-17 14:37:09;Failed Delivery;Customer not available;Web Form;TRUE
CMP-0004085;SHP-2026-0163169;2026-05-07 19:58:49;Late Delivery;Delivery date repeatedly changed;Phone;TRUE
CMP-0003320;SHP-2026-0130884;2026-03-03 05:17:55;Damaged Shipment;Contents damaged;Email;FALSE
CMP-0000229;SHP-2025-0009493;2025-03-01 09:28:21;Lost Shipment;No tracking progress;Email;TRUE
CMP-0002386;SHP-2025-0096472;2025-11-10 01:22:33;Other;Other;Web Form;TRUE
CMP-0000136;SHP-2025-0005707;2025-01-17 17:27:20;Incorrect Delivery;Tracking issue;Email;FALSE
CMP-0005736;SHP-2026-0228874;2026-11-10 18:54:23;Incorrect Delivery;Tracking issue;Email;FALSE
CMP-0002063;SHP-2025-0083350;2025-10-31 08:32:04;Incorrect Delivery;Other;Email;TRUE
CMP-0004795;SHP-2026-0191859;2026-08-20 13:32:08;Incorrect Delivery;Other;Phone;TRUE
CMP-0002889;SHP-2025-0114072;2025-12-15 22:26:51;Late Delivery;Delivered after promised date;Chat;TRUE
CMP-0004550;SHP-2026-0182095;2026-07-22 04:39:47;Failed Delivery;Delivery unsuccessful;Email;TRUE
CMP-0001429;SHP-2025-0057696;2025-07-24 18:59:13;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0000137;SHP-2025-0005712;2025-02-07 14:24:47;Late Delivery;Delivery date repeatedly changed;Chat;TRUE
CMP-0004266;SHP-2026-0171105;2026-06-23 19:09:28;Incorrect Delivery;Tracking issue;Phone;TRUE
CMP-0004760;SHP-2026-0190862;2026-08-12 02:01:32;Damaged Shipment;Package damaged;Phone;TRUE
CMP-0004785;SHP-2026-0191712;2026-08-22 13:33:00;Other;Wrong delivery instructions;Phone;TRUE
CMP-0000417;SHP-2025-0016482;2025-03-10 12:06:27;Late Delivery;Long transit time;Phone;TRUE
CMP-0004125;SHP-2026-0164992;2026-06-08 01:22:38;Late Delivery;Delivered after promised date;Email;TRUE
CMP-0004244;SHP-2026-0170419;2026-07-04 04:14:35;Failed Delivery;Courier did not reach customer;Phone;TRUE
CMP-0005151;SHP-2026-0206892;2026-09-26 00:57:40;Failed Delivery;Repeated delivery attempt;Phone;TRUE
CMP-0000001;SHP-2025-0000050;2025-02-04 14:41:18;Late Delivery;Delivery date repeatedly changed;Email;TRUE
CMP-0004794;SHP-2026-0191840;2026-09-03 19:08:36;Failed Delivery;Repeated delivery attempt;Email;TRUE
CMP-0001186;SHP-2025-0047609;2025-07-01 01:54:24;Failed Delivery;Customer not available;Web Form;TRUE
CMP-0003890;SHP-2026-0154261;2026-04-14 15:42:10;Other;Other;Phone;TRUE
CMP-0005347;SHP-2026-0214084;2026-10-17 07:27:32;Failed Delivery;Repeated delivery attempt;Chat;TRUE
CMP-0003423;SHP-2026-0135295;2026-02-15 11:45:49;Failed Delivery;Repeated delivery attempt;Phone;TRUE
CMP-0005303;SHP-2026-0212840;2026-10-07 05:40:12;Failed Delivery;Courier did not reach customer;Web Form;FALSE
CMP-0004487;SHP-2026-0179747;2026-07-18 02:54:37;Other;Wrong delivery instructions;Phone;TRUE
CMP-0005236;SHP-2026-0209767;2026-10-08 06:12:16;Failed Delivery;Delivery unsuccessful;Chat;TRUE
CMP-0002370;SHP-2025-0095858;2025-11-18 19:47:18;Failed Delivery;Courier did not reach customer;Email;TRUE
CMP-0000041;SHP-2025-0001780;2025-01-22 16:57:38;Other;Wrong delivery instructions;Phone;FALSE
CMP-0002512;SHP-2025-0101427;2025-12-05 00:13:31;Incorrect Delivery;Tracking issue;Phone;TRUE
CMP-0000622;SHP-2025-0024617;2025-03-09 08:38:31;Failed Delivery;Returned to sender;Web Form;TRUE
